株ID,株名,最小,最大
1,日本株1,300,400
2,日本株2,400,450
3,日本株3,450,500
4,日本株4,500,550
5,日本株5,550,600
6,日本株6,600,650
7,日本株7,650,700
8,日本株8,700,750
9,日本株9,750,800
10,日本株10,800,850
11,日本株11,850,900
12,日本株12,900,950
13,日本株13,950,1000
14,日本株14,1000,1050
15,日本株15,1050,1100
16,日本株16,1100,1150
17,日本株17,1150,1200
18,日本株18,1200,1250
19,日本株19,1250,1300
20,日本株20,1300,1350
21,日本株21,1350,1400
22,日本株22,1400,1450
23,日本株23,1450,1500
24,日本株24,1500,1550
25,日本株25,1550,1600
26,日本株26,1600,1650
27,日本株27,1650,1700
28,日本株28,1700,1750
29,日本株29,1750,1800
30,日本株30,1800,1850
31,日本株31,1850,1900
32,日本株32,1900,1950
33,日本株33,1950,2000
34,日本株34,2000,2050
35,日本株35,2050,2100
36,日本株36,2100,2150
37,日本株37,2150,2200
38,日本株38,2200,2250
39,日本株39,2250,2300
40,日本株40,2300,2350
41,日本株41,2350,2400
42,日本株42,2400,2450
43,日本株43,2450,2500
44,日本株44,2500,2550
45,日本株45,2550,2600
46,日本株46,2600,2650
47,日本株47,2650,2700
48,日本株48,2700,2750
49,日本株49,2750,2800
50,日本株50,2800,2850
51,日本株51,2850,2900
52,日本株52,2900,2950
53,日本株53,2950,3000
54,日本株54,3000,3050
55,日本株55,3050,3100
56,日本株56,3100,3150
57,日本株57,3150,3200
58,日本株58,3200,3250
59,日本株59,3250,3300
60,日本株60,3300,3350
61,日本株61,3350,3400
62,日本株62,3400,3450
63,日本株63,3450,3500
64,日本株64,3500,3550
65,日本株65,3550,3600
66,日本株66,3600,3650
67,日本株67,3650,3700
68,日本株68,3700,3750
69,日本株69,3750,3800
70,日本株70,3800,3850
71,日本株71,3850,3900
72,日本株72,3900,3950
73,日本株73,3950,4000
74,日本株74,4000,4050
75,日本株75,4050,4100
76,日本株76,4100,4150
77,日本株77,4150,4200
78,日本株78,4200,4250
79,日本株79,4250,4300
80,日本株80,4300,4350
81,日本株81,4350,4400
82,日本株82,4400,4450
83,日本株83,4450,4500
84,日本株84,4500,4550
85,日本株85,4550,4600
86,日本株86,4600,4650
87,日本株87,4650,4700
88,日本株88,4700,4750
89,日本株89,4750,4800
90,日本株90,4800,4850
91,日本株91,4850,4900
92,日本株92,4900,4950
93,日本株93,4950,5000
94,日本株94,5000,5050
95,日本株95,5050,5100
96,日本株96,5100,5150
97,日本株97,5150,5200
98,日本株98,5200,5250
99,日本株99,5250,5300
100,日本株100,5300,5350
101,日本株101,5350,5400
102,日本株102,5400,5450
103,日本株103,5450,5500
104,日本株104,5500,5550
105,日本株105,5550,5600
106,日本株106,5600,5650
107,日本株107,5650,5700
108,日本株108,5700,5750
109,日本株109,5750,5800
110,日本株110,5800,5850
111,日本株111,5850,5900
112,日本株112,5900,5950
113,日本株113,5950,6000
114,日本株114,6000,6050
115,日本株115,6050,6100
116,日本株116,6100,6150
117,日本株117,6150,6200
118,日本株118,6200,6250
119,日本株119,6250,6300
120,日本株120,6300,6350
121,日本株121,6350,6400
122,日本株122,6400,6450
123,日本株123,6450,6500
124,日本株124,6500,6550
125,日本株125,6550,6600
126,日本株126,6600,6650
127,日本株127,6650,6700
128,日本株128,6700,6750
129,日本株129,6750,6800
130,日本株130,6800,6850
131,日本株131,6850,6900
132,日本株132,6900,6950
133,日本株133,6950,7000
134,日本株134,7000,7050
135,日本株135,7050,7100
136,日本株136,7100,7150
137,日本株137,7150,7200
138,日本株138,7200,7250
139,日本株139,7250,7300
140,日本株140,7300,7350
141,日本株141,7350,7400
142,日本株142,7400,7450
143,日本株143,7450,7500
144,日本株144,7500,7550
145,日本株145,7550,7600
146,日本株146,7600,7650
147,日本株147,7650,7700
148,日本株148,7700,7750
149,日本株149,7750,7800
150,日本株150,7800,7850
151,日本株151,7850,7900
152,日本株152,7900,7950
153,日本株153,7950,8000
154,日本株154,8000,8050
155,日本株155,8050,8100
156,日本株156,8100,8150
157,日本株157,8150,8200
158,日本株158,8200,8250
159,日本株159,8250,8300
160,日本株160,8300,8350
161,日本株161,8350,8400
162,日本株162,8400,8450
163,日本株163,8450,8500
164,日本株164,8500,8550
165,日本株165,8550,8600
166,日本株166,8600,8650
167,日本株167,8650,8700
168,日本株168,8700,8750
169,日本株169,8750,8800
170,日本株170,8800,8850
171,日本株171,8850,8900
172,日本株172,8900,8950
173,日本株173,8950,9000
174,日本株174,9000,9050
175,日本株175,9050,9100
176,日本株176,9100,9150
177,日本株177,9150,9200
178,日本株178,9200,9250
179,日本株179,9250,9300
180,日本株180,9300,9350
181,日本株181,9350,9400
182,日本株182,9400,9450
183,日本株183,9450,9500
184,日本株184,9500,9550
185,日本株185,9550,9600
186,日本株186,9600,9650
187,日本株187,9650,9700
188,日本株188,9700,9750
189,日本株189,9750,9800
190,日本株190,9800,9850
191,日本株191,9850,9900
192,日本株192,9900,9950
193,日本株193,9950,10000
194,日本株194,10000,10050
195,日本株195,10050,10100
196,日本株196,10100,10150
197,日本株197,10150,10200
198,日本株198,10200,10250
199,日本株199,10250,10300
200,日本株200,10300,10350
201,日本株201,10350,10400
202,日本株202,10400,10450
203,日本株203,10450,10500
204,日本株204,10500,10550
205,日本株205,10550,10600
206,日本株206,10600,10650
207,日本株207,10650,10700
208,日本株208,10700,10750
209,日本株209,10750,10800
210,日本株210,10800,10850
211,日本株211,10850,10900
212,日本株212,10900,10950
213,日本株213,10950,11000
214,日本株214,11000,11050
215,日本株215,11050,11100
216,日本株216,11100,11150
217,日本株217,11150,11200
218,日本株218,11200,11250
219,日本株219,11250,11300
220,日本株220,11300,11350
221,日本株221,11350,11400
222,日本株222,11400,11450
223,日本株223,11450,11500
224,日本株224,11500,11550
225,日本株225,11550,11600
226,日本株226,11600,11650
227,日本株227,11650,11700
228,日本株228,11700,11750
229,日本株229,11750,11800
230,日本株230,11800,11850
231,日本株231,11850,11900
232,日本株232,11900,11950
233,日本株233,11950,12000
234,日本株234,12000,12050
235,日本株235,12050,12100
236,日本株236,12100,12150
237,日本株237,12150,12200
238,日本株238,12200,12250
239,日本株239,12250,12300
240,日本株240,12300,12350
241,日本株241,12350,12400
242,日本株242,12400,12450
243,日本株243,12450,12500
244,日本株244,12500,12550
245,日本株245,12550,12600
246,日本株246,12600,12650
247,日本株247,12650,12700
248,日本株248,12700,12750
249,日本株249,12750,12800
250,日本株250,12800,12850
251,日本株251,12850,12900
252,日本株252,12900,12950
253,日本株253,12950,13000
254,日本株254,13000,13050
255,日本株255,13050,13100
256,日本株256,358,408
257,日本株257,408,458
258,日本株258,458,508
259,日本株259,508,558
260,日本株260,558,608
261,日本株261,608,658
262,日本株262,658,708
263,日本株263,708,758
264,日本株264,758,808
265,日本株265,808,858
266,日本株266,858,908
267,日本株267,908,958
268,日本株268,958,1008
269,日本株269,1008,1058
270,日本株270,1058,1108
271,日本株271,1108,1158
272,日本株272,1158,1208
273,日本株273,1208,1258
274,日本株274,1258,1308
275,日本株275,1308,1358
276,日本株276,1358,1408
277,日本株277,1408,1458
278,日本株278,1458,1508
279,日本株279,1508,1558
280,日本株280,1558,1608
281,日本株281,1608,1658
282,日本株282,1658,1708
283,日本株283,1708,1758
284,日本株284,1758,1808
285,日本株285,1808,1858
286,日本株286,1858,1908
287,日本株287,1908,1958
288,日本株288,1958,2008
289,日本株289,2008,2058
290,日本株290,2058,2108
291,日本株291,2108,2158
292,日本株292,2158,2208
293,日本株293,2208,2258
294,日本株294,2258,2308
295,日本株295,2308,2358
296,日本株296,2358,2408
297,日本株297,2408,2458
298,日本株298,2458,2508
299,日本株299,2508,2558
300,日本株300,2558,2608
301,日本株301,2608,2658
302,日本株302,2658,2708
303,日本株303,2708,2758
304,日本株304,2758,2808
305,日本株305,2808,2858
306,日本株306,2858,2908
307,日本株307,2908,2958
308,日本株308,2958,3008
309,日本株309,3008,3058
310,日本株310,3058,3108
311,日本株311,3108,3158
312,日本株312,3158,3208
313,日本株313,3208,3258
314,日本株314,3258,3308
315,日本株315,3308,3358
316,日本株316,3358,3408
317,日本株317,3408,3458
318,日本株318,3458,3508
319,日本株319,3508,3558
320,日本株320,3558,3608
321,日本株321,3608,3658
322,日本株322,3658,3708
323,日本株323,3708,3758
324,日本株324,3758,3808
325,日本株325,3808,3858
326,日本株326,3858,3908
327,日本株327,3908,3958
328,日本株328,3958,4008
329,日本株329,4008,4058
330,日本株330,4058,4108
331,日本株331,4108,4158
332,日本株332,4158,4208
333,日本株333,4208,4258
334,日本株334,4258,4308
335,日本株335,4308,4358
336,日本株336,4358,4408
337,日本株337,4408,4458
338,日本株338,4458,4508
339,日本株339,4508,4558
340,日本株340,4558,4608
341,日本株341,4608,4658
342,日本株342,4658,4708
343,日本株343,4708,4758
344,日本株344,4758,4808
345,日本株345,4808,4858
346,日本株346,4858,4908
347,日本株347,4908,4958
348,日本株348,4958,5008
349,日本株349,5008,5058
350,日本株350,5058,5108
351,日本株351,5108,5158
352,日本株352,5158,5208
353,日本株353,5208,5258
354,日本株354,5258,5308
355,日本株355,5308,5358
356,日本株356,5358,5408
357,日本株357,5408,5458
358,日本株358,5458,5508
359,日本株359,5508,5558
360,日本株360,5558,5608
361,日本株361,5608,5658
362,日本株362,5658,5708
363,日本株363,5708,5758
364,日本株364,5758,5808
365,日本株365,5808,5858
366,日本株366,5858,5908
367,日本株367,5908,5958
368,日本株368,5958,6008
369,日本株369,6008,6058
370,日本株370,6058,6108
371,日本株371,6108,6158
372,日本株372,6158,6208
373,日本株373,6208,6258
374,日本株374,6258,6308
375,日本株375,6308,6358
376,日本株376,6358,6408
377,日本株377,6408,6458
378,日本株378,6458,6508
379,日本株379,6508,6558
380,日本株380,6558,6608
381,日本株381,6608,6658
382,日本株382,6658,6708
383,日本株383,6708,6758
384,日本株384,6758,6808
385,日本株385,6808,6858
386,日本株386,6858,6908
387,日本株387,6908,6958
388,日本株388,6958,7008
389,日本株389,7008,7058
390,日本株390,7058,7108
391,日本株391,7108,7158
392,日本株392,7158,7208
393,日本株393,7208,7258
394,日本株394,7258,7308
395,日本株395,7308,7358
396,日本株396,7358,7408
397,日本株397,7408,7458
398,日本株398,7458,7508
399,日本株399,7508,7558
400,日本株400,7558,7608
401,日本株401,7608,7658
402,日本株402,7658,7708
403,日本株403,7708,7758
404,日本株404,7758,7808
405,日本株405,7808,7858
406,日本株406,7858,7908
407,日本株407,7908,7958
408,日本株408,7958,8008
409,日本株409,8008,8058
410,日本株410,8058,8108
411,日本株411,8108,8158
412,日本株412,8158,8208
413,日本株413,8208,8258
414,日本株414,8258,8308
415,日本株415,8308,8358
416,日本株416,8358,8408
417,日本株417,8408,8458
418,日本株418,8458,8508
419,日本株419,8508,8558
420,日本株420,8558,8608
421,日本株421,8608,8658
422,日本株422,8658,8708
423,日本株423,8708,8758
424,日本株424,8758,8808
425,日本株425,8808,8858
426,日本株426,8858,8908
427,日本株427,8908,8958
428,日本株428,8958,9008
429,日本株429,9008,9058
430,日本株430,9058,9108
431,日本株431,9108,9158
432,日本株432,9158,9208
433,日本株433,9208,9258
434,日本株434,9258,9308
435,日本株435,9308,9358
436,日本株436,9358,9408
437,日本株437,9408,9458
438,日本株438,9458,9508
439,日本株439,9508,9558
440,日本株440,9558,9608
441,日本株441,9608,9658
442,日本株442,9658,9708
443,日本株443,9708,9758
444,日本株444,9758,9808
445,日本株445,9808,9858
446,日本株446,9858,9908
447,日本株447,9908,9958
448,日本株448,9958,10008
449,日本株449,10008,10058
450,日本株450,10058,10108
451,日本株451,10108,10158
452,日本株452,10158,10208
453,日本株453,10208,10258
454,日本株454,10258,10308
455,日本株455,10308,10358
456,日本株456,10358,10408
457,日本株457,10408,10458
458,日本株458,10458,10508
459,日本株459,10508,10558
460,日本株460,10558,10608
461,日本株461,10608,10658
462,日本株462,10658,10708
463,日本株463,10708,10758
464,日本株464,10758,10808
465,日本株465,10808,10858
466,日本株466,10858,10908
467,日本株467,10908,10958
468,日本株468,10958,11008
469,日本株469,11008,11058
470,日本株470,11058,11108
471,日本株471,11108,11158
472,日本株472,11158,11208
473,日本株473,11208,11258
474,日本株474,11258,11308
475,日本株475,11308,11358
476,日本株476,11358,11408
477,日本株477,11408,11458
478,日本株478,11458,11508
479,日本株479,11508,11558
480,日本株480,11558,11608
481,日本株481,11608,11658
482,日本株482,11658,11708
483,日本株483,11708,11758
484,日本株484,11758,11808
485,日本株485,11808,11858
486,日本株486,11858,11908
487,日本株487,11908,11958
488,日本株488,11958,12008
489,日本株489,12008,12058
490,日本株490,12058,12108
491,日本株491,12108,12158
492,日本株492,12158,12208
493,日本株493,12208,12258
494,日本株494,12258,12308
495,日本株495,12308,12358
496,日本株496,12358,12408
497,日本株497,12408,12458
498,日本株498,12458,12508
499,日本株499,12508,12558
500,日本株500,12558,12608
501,日本株501,12608,12658
502,日本株502,12658,12708
503,日本株503,12708,12758
504,日本株504,12758,12808
505,日本株505,12808,12858
506,日本株506,12858,12908
507,日本株507,12908,12958
508,日本株508,12958,13008
509,日本株509,13008,13058
510,日本株510,13058,13108
511,日本株511,13108,13158
512,日本株512,13158,13208
513,日本株513,13208,13258
514,日本株514,13258,13308
515,日本株515,13308,13358
516,日本株516,13358,13408
517,日本株517,13408,13458
518,日本株518,13458,13508
519,日本株519,13508,13558
520,日本株520,13558,13608
521,日本株521,13608,13658
522,日本株522,13658,13708
523,日本株523,875,925
524,日本株524,925,975
525,日本株525,975,1025
526,日本株526,1025,1075
527,日本株527,1075,1125
528,日本株528,1125,1175
529,日本株529,1175,1225
530,日本株530,1225,1275
531,日本株531,1275,1325
532,日本株532,1325,1375
533,日本株533,1375,1425
534,日本株534,1425,1475
535,日本株535,1475,1525
536,日本株536,1525,1575
537,日本株537,1575,1625
538,日本株538,1625,1675
539,日本株539,1675,1725
540,日本株540,1725,1775
541,日本株541,1775,1825
542,日本株542,1825,1875
543,日本株543,1875,1925
544,日本株544,1925,1975
545,日本株545,1975,2025
546,日本株546,2025,2075
547,日本株547,2075,2125
548,日本株548,2125,2175
549,日本株549,2175,2225
550,日本株550,2225,2275
551,日本株551,2275,2325
552,日本株552,2325,2375
553,日本株553,2375,2425
554,日本株554,2425,2475
555,日本株555,2475,2525
556,日本株556,2525,2575
557,日本株557,2575,2625
558,日本株558,2625,2675
559,日本株559,2675,2725
560,日本株560,2725,2775
561,日本株561,2775,2825
562,日本株562,2825,2875
563,日本株563,2875,2925
564,日本株564,2925,2975
565,日本株565,2975,3025
566,日本株566,3025,3075
567,日本株567,3075,3125
568,日本株568,3125,3175
569,日本株569,3175,3225
570,日本株570,3225,3275
571,日本株571,3275,3325
572,日本株572,3325,3375
573,日本株573,3375,3425
574,日本株574,3425,3475
575,日本株575,3475,3525
576,日本株576,3525,3575
577,日本株577,3575,3625
578,日本株578,3625,3675
579,日本株579,3675,3725
580,日本株580,3725,3775
581,日本株581,3775,3825
582,日本株582,3825,3875
583,日本株583,3875,3925
584,日本株584,3925,3975
585,日本株585,3975,4025
586,日本株586,4025,4075
587,日本株587,4075,4125
588,日本株588,4125,4175
589,日本株589,4175,4225
590,日本株590,4225,4275
591,日本株591,4275,4325
592,日本株592,4325,4375
593,日本株593,4375,4425
594,日本株594,4425,4475
595,日本株595,4475,4525
596,日本株596,4525,4575
597,日本株597,4575,4625
598,日本株598,4625,4675
599,日本株599,4675,4725
600,日本株600,4725,4775
601,日本株601,4775,4825
602,日本株602,4825,4875
603,日本株603,4875,4925
604,日本株604,4925,4975
605,日本株605,4975,5025
606,日本株606,5025,5075
607,日本株607,5075,5125
608,日本株608,5125,5175
609,日本株609,5175,5225
610,日本株610,5225,5275
611,日本株611,5275,5325
612,日本株612,5325,5375
613,日本株613,5375,5425
614,日本株614,5425,5475
615,日本株615,5475,5525
616,日本株616,578,628
617,日本株617,628,678
618,日本株618,678,728
619,日本株619,728,778
620,日本株620,778,828
621,日本株621,828,878
622,日本株622,878,928
623,日本株623,928,978
624,日本株624,978,1028
625,日本株625,1028,1078
626,日本株626,1078,1128
627,日本株627,1128,1178
628,日本株628,1178,1228
629,日本株629,1228,1278
630,日本株630,1278,1328
631,日本株631,1328,1378
632,日本株632,1378,1428
633,日本株633,1428,1478
634,日本株634,1478,1528
635,日本株635,1528,1578
636,日本株636,1578,1628
637,日本株637,1628,1678
638,日本株638,1678,1728
639,日本株639,1728,1778
640,日本株640,1778,1828
641,日本株641,1828,1878
642,日本株642,1878,1928
643,日本株643,1928,1978
644,日本株644,1978,2028
645,日本株645,2028,2078
646,日本株646,2078,2128
647,日本株647,2128,2178
648,日本株648,2178,2228
649,日本株649,2228,2278
650,日本株650,2278,2328
651,日本株651,2328,2378
652,日本株652,2378,2428
653,日本株653,2428,2478
654,日本株654,2478,2528
655,日本株655,2528,2578
656,日本株656,2578,2628
657,日本株657,2628,2678
658,日本株658,2678,2728
659,日本株659,2728,2778
660,日本株660,2778,2828
661,日本株661,2828,2878
662,日本株662,2878,2928
663,日本株663,2928,2978
664,日本株664,2978,3028
665,日本株665,3028,3078
666,日本株666,3078,3128
667,日本株667,3128,3178
668,日本株668,3178,3228
669,日本株669,3228,3278
670,日本株670,3278,3328
671,日本株671,3328,3378
672,日本株672,3378,3428
673,日本株673,3428,3478
674,日本株674,3478,3528
675,日本株675,3528,3578
676,日本株676,3578,3628
677,日本株677,3628,3678
678,日本株678,3678,3728
679,日本株679,3728,3778
680,日本株680,3778,3828
681,日本株681,3828,3878
682,日本株682,3878,3928
683,日本株683,3928,3978
684,日本株684,3978,4028
685,日本株685,4028,4078
686,日本株686,4078,4128
687,日本株687,4128,4178
688,日本株688,4178,4228
689,日本株689,4228,4278
690,日本株690,4278,4328
691,日本株691,4328,4378
692,日本株692,4378,4428
693,日本株693,4428,4478
694,日本株694,4478,4528
695,日本株695,4528,4578
696,日本株696,4578,4628
697,日本株697,4628,4678
698,日本株698,4678,4728
699,日本株699,4728,4778
700,日本株700,4778,4828
701,日本株701,4828,4878
702,日本株702,4878,4928
703,日本株703,4928,4978
704,日本株704,4978,5028
705,日本株705,5028,5078
706,日本株706,5078,5128
707,日本株707,5128,5178
708,日本株708,5178,5228
709,日本株709,5228,5278
710,日本株710,5278,5328
711,日本株711,5328,5378
712,日本株712,5378,5428
713,日本株713,5428,5478
714,日本株714,5478,5528
715,日本株715,5528,5578
716,日本株716,5578,5628
717,日本株717,5628,5678
718,日本株718,5678,5728
719,日本株719,5728,5778
720,日本株720,5778,5828
721,日本株721,5828,5878
722,日本株722,5878,5928
723,日本株723,5928,5978
724,日本株724,5978,6028
725,日本株725,6028,6078
726,日本株726,6078,6128
727,日本株727,6128,6178
728,日本株728,6178,6228
729,日本株729,6228,6278
730,日本株730,6278,6328
731,日本株731,6328,6378
732,日本株732,6378,6428
733,日本株733,6428,6478
734,日本株734,6478,6528
735,日本株735,6528,6578
736,日本株736,6578,6628
737,日本株737,6628,6678
738,日本株738,6678,6728
739,日本株739,6728,6778
740,日本株740,6778,6828
741,日本株741,6828,6878
742,日本株742,6878,6928
743,日本株743,6928,6978
744,日本株744,6978,7028
745,日本株745,7028,7078
746,日本株746,7078,7128
747,日本株747,7128,7178
748,日本株748,7178,7228
749,日本株749,7228,7278
750,日本株750,7278,7328
751,日本株751,7328,7378
752,日本株752,7378,7428
753,日本株753,7428,7478
754,日本株754,7478,7528
755,日本株755,7528,7578
756,日本株756,7578,7628
757,日本株757,7628,7678
758,日本株758,7678,7728
759,日本株759,7728,7778
760,日本株760,7778,7828
761,日本株761,7828,7878
762,日本株762,7878,7928
763,日本株763,7928,7978
764,日本株764,7978,8028
765,日本株765,8028,8078
766,日本株766,8078,8128
767,日本株767,8128,8178
768,日本株768,8178,8228
769,日本株769,8228,8278
770,日本株770,8278,8328
771,日本株771,8328,8378
772,日本株772,8378,8428
773,日本株773,8428,8478
774,日本株774,8478,8528
775,日本株775,8528,8578
776,日本株776,8578,8628
777,日本株777,8628,8678
778,日本株778,8678,8728
779,日本株779,8728,8778
780,日本株780,8778,8828
781,日本株781,8828,8878
782,日本株782,8878,8928
783,日本株783,8928,8978
784,日本株784,8978,9028
785,日本株785,9028,9078
786,日本株786,9078,9128
787,日本株787,9128,9178
788,日本株788,9178,9228
789,日本株789,9228,9278
790,日本株790,9278,9328
791,日本株791,9328,9378
792,日本株792,9378,9428
793,日本株793,9428,9478
794,日本株794,9478,9528
795,日本株795,9528,9578
796,日本株796,9578,9628
797,日本株797,9628,9678
798,日本株798,9678,9728
799,日本株799,9728,9778
800,日本株800,9778,9828
801,日本株801,9828,9878
802,日本株802,9878,9928
803,日本株803,9928,9978
804,日本株804,9978,10028
805,日本株805,10028,10078
806,日本株806,10078,10128
807,日本株807,10128,10178
808,日本株808,10178,10228
809,日本株809,10228,10278
810,日本株810,10278,10328
811,日本株811,10328,10378
812,日本株812,10378,10428
813,日本株813,10428,10478
814,日本株814,10478,10528
815,日本株815,10528,10578
816,日本株816,10578,10628
817,日本株817,10628,10678
818,日本株818,10678,10728
819,日本株819,10728,10778
820,日本株820,10778,10828
821,日本株821,10828,10878
822,日本株822,10878,10928
823,日本株823,10928,10978
824,日本株824,10978,11028
825,日本株825,11028,11078
826,日本株826,11078,11128
827,日本株827,11128,11178
828,日本株828,11178,11228
829,日本株829,11228,11278
830,日本株830,11278,11328
831,日本株831,11328,11378
832,日本株832,11378,11428
833,日本株833,11428,11478
834,日本株834,11478,11528
835,日本株835,11528,11578
836,日本株836,11578,11628
837,日本株837,11628,11678
838,日本株838,11678,11728
839,日本株839,11728,11778
840,日本株840,11778,11828
841,日本株841,11828,11878
842,日本株842,11878,11928
