ID,市,地名,面積(㎡),周辺長（ｍ）,人口,世帯数
1,つくば,谷田部,53606.127,1130.494,0,0
2,つくば,谷田部字瑞穂,348031.967,2440.527,1291,530
3,つくば,羽成,595054.398,3260.252,170,50
4,つくば,飯田,624889.926,4925.197,364,105
5,つくば,中野,506021.205,2855.342,170,60
6,つくば,片田,307694.736,4647.833,26,13
7,つくば,上萱丸,261774.601,2382.891,226,99
8,つくば,花島新田,61165.619,1571.457,32,22
9,つくば,下萱丸,284355.385,2686.18,48,16
10,つくば,小白硲,752734.391,4328.064,972,394
11,つくば,西栗山,460460.378,5539.015,69,23
12,つくば,上横場,2342509.008,10327.924,2319,980
13,つくば,境田,709718.194,3553.185,182,67
14,つくば,境松,1009768.761,6379.946,166,51
15,つくば,根崎,377663.284,5101.568,43,12
16,つくば,古館,310420.017,3168.73,86,25
17,つくば,緑が丘,148784.944,2073.632,1165,459
18,つくば,東丸山,685903.18,5976.215,52,22
19,つくば,真瀬,3274606.356,9235.391,1860,643
20,つくば,鍋沼新田,1550754.227,6125.696,309,108
21,つくば,高須賀,2592318.065,8118.105,486,153
22,つくば,高良田,794886.498,5736.579,410,121
23,つくば,島名,3527342.114,15094.382,1185,408
24,つくば,中別府,1342877.659,4937.64,560,214
25,つくば,下別府,655604.542,3782.756,105,29
26,つくば,上河原崎下河原崎入会地,11314.556,553.994,5,2
27,つくば,上河原崎,1183885.641,9374.416,248,87
28,つくば,鬼ケ窪,1751600.214,6152.363,476,140
29,つくば,高田,532712.111,3718.684,77,25
30,つくば,面野井,1269714.403,5812.654,239,94
31,つくば,下河原崎,427831.823,3679.42,209,77
32,つくば,水堀,824632.681,4112.912,95,27
33,つくば,北郷,190695.76,1715.66,0,0
34,つくば,西平塚,554917.961,4681.981,138,52
35,つくば,東平塚,603688.108,4964.622,445,246
36,つくば,下平塚,667739.471,6654.364,306,111
37,つくば,葛城根崎,85431.509,1412.354,45,16
38,つくば,苅間,213204.771,2678.203,0,0
39,つくば,西大橋,312135.09,3122.939,186,63
40,つくば,西岡,296705.63,2374.672,173,64
41,つくば,小野崎,1507348.283,7484.764,1670,563
42,つくば,島,353297.362,2826.081,78,27
43,つくば,平,560810.952,3994.456,157,43
44,つくば,大白硲,486830.824,3687.043,48,15
45,つくば,柳橋,901058.397,5478.11,230,95
46,つくば,新井,346317.122,2757.9,34,7
47,つくば,山中,445172.282,3738.751,663,253
48,つくば,藤本,452940.079,2887.951,0,0
49,つくば,大わし,347879.821,3140.258,0,0
50,つくば,中内,400416.59,2634.842,162,58
51,つくば,館野,392186.757,3251.896,156,56
52,つくば,榎戸,838328.204,4510.028,519,268
53,つくば,北中妻,586614.627,3175.388,156,54
54,つくば,赤塚,1178113.638,5765.328,944,359
55,つくば,下原,1250442.749,5210.212,237,58
56,つくば,梶内,335388.85,2572.941,140,43
57,つくば,南中妻,887244.967,4015.163,385,138
58,つくば,下横場,477229.97,3155.108,299,119
59,つくば,稲岡,736017.421,3695.884,427,158
60,つくば,北中島,729940.532,3602.957,239,94
61,つくば,市之台,30443.709,817.503,0,0
62,つくば,今泉,304236.199,2305.059,220,90
63,つくば,新牧田,627982.671,4881.985,93,45
64,つくば,手代木,1371863.551,7118.434,507,177
65,つくば,西大沼,671363.372,3304.585,383,105
66,つくば,上原,332948.254,3515.161,412,134
67,つくば,松野木,306441.034,2614.419,735,309
68,つくば,観音台一丁目,453384.255,3870.95,2271,1316
69,つくば,観音台二丁目,847591.117,3651.058,45,45
70,つくば,観音台三丁目,880802.618,3788.339,0,0
71,つくば,春日一丁目,285969.327,2298.325,991,469
72,つくば,春日二丁目,412157.319,3407.526,3363,2180
73,つくば,春日三丁目,247744.722,2363.662,2619,2197
74,つくば,春日四丁目,320977.444,2798.271,3638,3362
75,つくば,松代一丁目,294064.527,3296.403,1742,914
76,つくば,松代二丁目,174025.108,1799.092,1082,577
77,つくば,松代三丁目,277788.87,2143.796,2364,969
78,つくば,松代四丁目,286750.827,2505.124,1443,662
79,つくば,松代五丁目,311344.127,2808.672,1172,433
80,つくば,西郷,45280.54,870.413,96,68
81,つくば,小野川,899908.022,4834.373,1485,710
82,つくば,東一丁目,691336.053,3776.483,0,0
83,つくば,東二丁目,371076.608,2493.005,2104,1036
84,つくば,稲荷前,448973.163,2780.14,2096,1130
85,つくば,二の宮一丁目,313121.286,2612.644,2354,1240
86,つくば,二の宮二丁目,373130.049,2923.013,1358,803
87,つくば,二の宮三丁目,196222.413,3063.057,1360,706
88,つくば,二の宮四丁目,206550.72,1990.161,2326,1029
89,つくば,高野台一丁目,374077.514,2833.57,0,0
90,つくば,高野台二丁目,193117.125,2344.82,1065,605
91,つくば,高野台三丁目,306066.08,2663.949,1097,689
92,つくば,東新井,363416.806,2822.011,1775,923
93,つくば,御幸が丘,1002121.508,4455.231,0,0
94,つくば,八幡台,282874.747,2604.286,0,0
95,つくば,上郷,8515115.367,19028.634,3924,1454
96,つくば,木俣,578312.436,3571.012,114,44
97,つくば,野畑,884519.197,5670.417,181,53
98,つくば,百家,964984.057,5404.299,334,99
99,つくば,高野,1459425.842,9195.923,748,312
100,つくば,今鹿島,4589400.358,9762.689,2029,704
101,つくば,沼崎,3267478.403,9570.165,798,279
102,つくば,中東原新田,110117.428,2489.851,46,14
103,つくば,遠東,1336770.675,8238.661,390,159
104,つくば,酒丸,1604110.864,7795.859,779,262
105,つくば,土田,553198.743,3245.441,159,59
106,つくば,上里,1205779.985,5693.504,376,113
107,つくば,東光台一丁目,109250.637,1513.885,791,380
108,つくば,東光台二丁目,117698.304,1744.706,747,391
109,つくば,東光台三丁目,95298.914,1584.974,438,259
110,つくば,東光台四丁目,74682.129,1384.33,400,225
111,つくば,東光台五丁目,519475.989,3384.676,37,26
112,つくば,田倉,1628142.055,6188.563,612,149
113,つくば,緑ケ原一丁目,258659.067,2192.335,0,0
114,つくば,緑ケ原二丁目,135390.059,1840.812,0,0
115,つくば,緑ケ原三丁目,97748.74,1832.877,0,0
116,つくば,緑ケ原四丁目,211901.447,2222.048,0,0
117,つくば,手子生,1364402.948,6732.99,547,184
118,つくば,大曽根,2690057.409,10718.304,2452,914
119,つくば,鹿島台,176407.359,2289.129,288,115
120,つくば,玉取,2035389.771,8165.824,797,289
121,つくば,若森,1556909.288,4858.84,281,96
122,つくば,佐,624837.731,4398.681,180,63
123,つくば,蓮沼,880017.849,4408.426,312,137
124,つくば,花畑一丁目,362356.881,2865.876,1520,888
125,つくば,花畑二丁目,199872.072,1892.424,1114,664
126,つくば,花畑三丁目,313937.016,3170.028,2024,1232
127,つくば,前野,2067881.204,7053.209,778,259
128,つくば,立原,311266.465,2449.308,0,0
129,つくば,篠崎,2595261.163,8591.467,1558,633
130,つくば,北原,260053.446,2784.498,0,0
131,つくば,長高野,2679524.351,8617.948,887,298
132,つくば,要,3042059.576,9435.988,2219,1004
133,つくば,大穂,1636837.471,6203.485,11,8
134,つくば,吉沼,6684198.31,14880.923,2102,702
135,つくば,西高野,3039857.762,10349.984,813,266
136,つくば,大久保,432394.352,3840.257,0,0
137,つくば,大砂,1861736.765,8476.577,841,316
138,つくば,小田,5861126.185,13511.229,1695,657
139,つくば,北太田,987345.757,4541.93,167,58
140,つくば,大形,3031611.681,9341.015,398,144
141,つくば,下大島,531196.387,4406.924,166,57
142,つくば,小和田,990192.801,5927.939,233,43
143,つくば,山口,4044415.148,8775.469,350,118
144,つくば,平沢,2946561.16,10411.432,330,102
145,つくば,北条,4151214.614,11255.159,2949,1133
146,つくば,君島,1206637.743,5311.493,243,86
147,つくば,泉,1368654.14,6400.327,345,123
148,つくば,小泉,224005.107,2461.674,50,14
149,つくば,田中,1573343.007,7349.601,774,288
150,つくば,田水山,1003636.114,4446.224,6,3
151,つくば,水守,2037484.024,7233.503,793,193
152,つくば,上沢,469386.398,3358.425,0,0
153,つくば,山木,1135040.793,6776.915,279,106
154,つくば,明石,639967.75,3794.858,105,43
155,つくば,高野原新田,268008.264,3139.941,1,1
156,つくば,作谷,6699133.721,13276.343,1194,405
157,つくば,寺具,3463789.269,11892.593,413,140
158,つくば,安食,2490988.393,7722.223,998,362
159,つくば,上菅間,1847504.48,8021.194,198,57
160,つくば,中菅間,1435419.993,5646.093,409,133
161,つくば,池田,1050652.488,5075.055,198,69
162,つくば,磯部,855759.265,5314.008,133,42
163,つくば,洞下,1488109.598,7953.779,620,214
164,つくば,筑波,5769883.833,10715.953,389,171
165,つくば,沼田,2287654.333,7527.941,676,254
166,つくば,国松,2586954.391,9900.108,459,162
167,つくば,上大島,4013728.31,13466.523,588,217
168,つくば,神郡,4376416.638,16180.901,668,205
169,つくば,臼井,3392003.752,11460.564,546,193
170,つくば,大貫,662577.378,3422.359,142,56
171,つくば,杉木,547797.541,3078.352,85,32
172,つくば,小沢,223850.444,2322.27,149,51
173,つくば,漆所,568322.355,3750.671,69,34
174,つくば,和台,1255989.058,6610.307,0,0
175,つくば,上境,843106.681,5337.133,207,64
176,つくば,中根,922205.166,5503.347,654,226
177,つくば,栄,536606.008,4248.78,500,229
178,つくば,松塚,922763.186,4741.384,345,118
179,つくば,松栄,51121.919,948.911,381,153
180,つくば,大,838324.929,4509.308,344,109
181,つくば,横町,100072.423,1452.927,210,75
182,つくば,金田,870734.978,4964.574,825,354
183,つくば,古来,921085.168,4728.565,757,272
184,つくば,吉瀬,1399889.534,5642.51,360,107
185,つくば,上ノ室,2406224.282,7542.508,1857,714
186,つくば,上広岡,732796.41,4498.026,691,311
187,つくば,上広岡字野田,115047.707,1854.101,389,169
188,つくば,下広岡,1932336.632,9822.537,2448,1127
189,つくば,大角豆,745420.021,3809.998,0,0
190,つくば,倉掛,725472.249,3980.428,1278,550
191,つくば,妻木,1007073.251,6706.067,718,279
192,つくば,柴崎,927493.002,7411.888,808,431
193,つくば,岡村新田,50070.741,1255.654,0,0
194,つくば,東岡,20966.082,1204.751,0,0
195,つくば,花室,1260365,6388.454,1762,776
196,つくば,栗原,3722419.858,10275.701,1442,606
197,つくば,上野,755066.364,7237.112,149,60
198,つくば,天王台一丁目,896567.36,3875.589,0,0
199,つくば,天王台二丁目,730440.527,3743.241,735,435
200,つくば,天王台三丁目,287458.565,2141.846,0,0
201,つくば,天久保一丁目,297693.715,2292.649,998,739
202,つくば,天久保二丁目,715988.077,4127.883,4024,3121
203,つくば,天久保三丁目,792074.773,3632.809,2476,2363
204,つくば,天久保四丁目,284830.372,2639.958,1023,805
205,つくば,吾妻一丁目,303743.941,2629.747,2040,774
206,つくば,吾妻二丁目,399597.047,2811.14,261,113
207,つくば,吾妻三丁目,263213.325,2188.325,1956,1092
208,つくば,吾妻四丁目,257115.3,3168.025,1740,886
209,つくば,竹園一丁目,265968.05,2216.565,3512,1452
210,つくば,竹園二丁目,311546.055,2308.149,1260,618
211,つくば,竹園三丁目,452572.955,2886.611,2988,1041
212,つくば,千現一丁目,347373.96,2559.251,1724,878
213,つくば,千現二丁目,683257.361,3466.316,825,460
214,つくば,並木一丁目,327555.829,2522.397,0,0
215,つくば,並木二丁目,298967.304,3133.001,1748,603
216,つくば,並木三丁目,308802.529,2426.271,2198,916
217,つくば,並木四丁目,319841.448,2424.396,1267,515
218,つくば,梅園一丁目,348398.279,2783.724,0,0
219,つくば,梅園二丁目,437735.382,2854.694,3105,1454
220,つくば,桜一丁目,269595.452,2408.614,816,500
221,つくば,桜二丁目,192713.1,2452.844,1636,1223
222,つくば,桜三丁目,199588.38,2545.889,566,347
223,つくば,筑穂一丁目,146593.643,1761.654,186,97
224,つくば,筑穂二丁目,134749.073,1750.733,576,300
225,つくば,筑穂三丁目,116654.98,1569.118,460,204
226,つくば,豊里の杜一丁目,145862.734,1972.241,909,302
227,つくば,豊里の杜二丁目,170123.504,2755.869,1201,395
228,つくば,南原,233723.812,1988.686,0,0
229,つくば,旭,924519.261,6689.024,0,0
230,つくば,西沢,79660.341,1260.431,0,0
231,つくば,西原,59161.206,1011.7,0,0
232,つくば,長峰,560477.929,3232.05,0,0
233,つくば,原,190375.393,2162.757,312,109
234,つくば,六斗,829535.213,4086.355,131,39
235,つくば,小茎,1098750.358,6186.829,477,161
236,つくば,下岩崎,40496.892,1056.391,0,0
237,つくば,九万坪,458848.462,4071.818,152,52
238,つくば,上岩崎,2026642.373,11867.198,637,194
239,つくば,房内,563251.763,7031.316,122,40
240,つくば,若栗,1194061.469,7010.555,496,207
241,つくば,菅間,126272.068,2414.932,0,0
242,つくば,樋の沢,318816.923,3545.817,232,101
243,つくば,大井,1295858.22,4865.158,451,157
244,つくば,高崎,1999192.467,9936.292,1500,505
245,つくば,天宝喜,548058.454,5207.821,338,74
246,つくば,牧園,100112.713,1340.858,718,394
247,つくば,宝陽台,234732.352,3654.723,1245,575
248,つくば,城山,133946.93,2011.195,960,422
249,つくば,桜が丘,142062.424,2640.315,876,403
250,つくば,森の里,180287.854,2164.853,1285,601
251,つくば,森の里,195648.055,2408.63,1407,621
252,つくば,若葉,68237.117,1114.097,401,227
253,つくば,あしび野,52530.523,974.366,338,141
254,つくば,高見原一丁目,349876.073,2777.11,1983,1009
255,つくば,高見原二丁目,286896.164,2338.398,1393,631
256,つくば,高見原三丁目,365492.438,2892.301,892,388
257,つくば,高見原四丁目,238421.013,2161.679,677,305
258,つくば,高見原五丁目,220029.969,2418.629,478,185
259,つくば,富士見台,74651.469,1595.992,453,211
260,つくば,自由ケ丘,2745.226,227.323,0,0
261,つくば,自由ケ丘,93814.687,3108.981,0,0
262,つくば,梅ケ丘,77632.511,1293.269,446,198
263,つくば,池の台,683078.775,5634.752,0,0
264,つくば,松の里,330941.667,3199.625,0,0
265,つくば,駒込,689741.012,4497.002,101,29
266,つくば,茎崎,486899.593,3775.691,192,84
267,つくば,小山,446043.085,3088.582,128,57
268,つくば,大舟戸,860267.816,5231.717,128,39
269,つくば,細見,224258.296,4310.597,108,35
270,つくば,泊崎,71339.61,1936.7,0,0
271,つくば,明神,134696.601,1596.515,295,132
272,つくば,稲荷川,99437.589,2695.113,0,0
273,つくば,西ノ沢,292119.286,2607.24,0,0
274,つくば,稲荷原,624824.901,3586.223,273,90
275,つくば,池向,48190.099,1584.19,190,86
276,つくば,鷹野原,169859.796,3543.611,66,35
277,つくば,中山,593082.876,3434.26,389,147
278,つくば,西大井,629019.656,4986.582,447,157
279,つくば,和台原,380963.314,4007.168,6,3
280,つくば,学園の森一丁目,257928.433,3124.518,1863,700
281,つくば,学園の森二丁目,864672.996,4991.804,2517,955
282,つくば,学園の森三丁目,625018.929,7336,1362,527
283,つくば,研究学園一丁目,154045.109,1654.028,7,6
284,つくば,研究学園二丁目,163068.563,1705.451,761,323
285,つくば,研究学園三丁目,208973.307,2546.21,1148,489
286,つくば,研究学園四丁目,266269.088,2024.002,2279,895
287,つくば,研究学園五丁目,409493.798,2598.796,2545,1202
288,つくば,研究学園六丁目,261239.186,2421.762,1521,575
289,つくば,研究学園七丁目,250981.27,4612.211,1332,493
290,つくば,学園南一丁目,539194.109,3898.302,653,313
291,つくば,学園南二丁目,388527.722,2921.022,1377,583
292,つくば,学園南三丁目,484415.408,6052.143,2121,843
293,つくば,香取台Ａ,269978.476,3752.56,611,281
294,つくば,香取台Ｂ,409654.028,3030.69,2953,1188
295,つくば,諏訪Ｃ,269635.344,2407.837,1212,746
296,つくば,諏訪Ｄ,245000.238,2163.765,354,164
297,つくば,諏訪Ｅ,28383.39,950.272,0,0
298,つくば,陣場Ｄ,47151.489,1114.39,0,0
299,つくば,陣場Ｅ,518024.645,3494.074,688,336
300,つくば,陣場Ｆ,405305.411,2871.404,513,267
301,つくば,陣場Ｇ,301679.079,2763.609,596,281
302,つくば,みどりの一丁目,311971.216,3270.299,3002,1457
303,つくば,みどりの二丁目,595942.016,4751.923,2759,1288
304,つくば,みどりの中央,649219.108,6218.534,3121,1308
305,つくば,みどりの東,468546.332,4649.036,1321,696
306,つくば,みどりの南,984297.028,6119.571,2795,1097
307,つくば,台町一丁目,66950.968,1233.977,122,46
308,つくば,台町二丁目,102756.38,1296.127,578,170
309,つくば,台町三丁目,110039.512,1731.295,426,164
310,つくば,春風台,410692.365,3705.277,1226,463
311,つくば,流星台,625679.576,7200.28,844,511
312,つくば,さくらの森,879158.743,5680.367,356,183
313,つくば,かみかわ,370385.787,4252.069,0,0
314,つくば,高山,831872.795,5072.393,137,64
315,つくば,万博公園西,484150.275,3869.615,843,439